codi_ine,nom
080832,Folgueroles
250931,Fondarella
080847,Fonollosa
080850,Font-rubí
170694,Fontanals de Cerdanya
170708,Fontanilles
170715,Fontcoberta
250946,Foradada
179026,Forallac
430614,Forès
170736,Fornells de la Selva
170741,Fortià
080863,"Franqueses del Vallès, les"
430629,Freginals
250962,"Fuliola, la"
250978,Fulleda
080902,Gaià
430635,"Galera, la"
080879,Gallifa
430640,Gandesa
430653,Garcia
430666,"Garidells, els"
080885,"Garriga, la"
170754,Garrigàs
170767,Garrigoles
170773,Garriguella
080898,Gavà
250984,Gavet de la Conca
080919,Gelida
170789,Ger
259123,Gimenells i el Pla de la Font
430672,Ginestar
170792,Girona
080924,Gironella
080930,Gisclareny
430688,Godall
250997,Golmés
170806,Gombrèn
251001,Gósol
080945,"Granada, la"
251018,"Granadella, la"
080958,Granera
251023,"Granja d'Escarp, la"
080961,Granollers
251039,Granyanella
251057,Granyena de les Garrigues
251044,Granyena de Segarra
430691,Gratallops
080977,Gualba
170813,Gualta
080996,Guardiola de Berguedà
430705,"Guiamets, els"
170828,Guils de Cerdanya
251095,Guimerà
259031,"Guingueta d'Àneu, la"
251109,Guissona
251116,Guixers
081000,Gurb
430712,Horta de Sant Joan
081017,"Hospitalet de Llobregat, l'"
081629,"Hostalets de Pierola, els"
170834,Hostalric
081022,Igualada
251155,Isona i Conca Dellà
170849,Isòvol
251137,Ivars d'Urgell
251121,Ivars de Noguera
251142,Ivorra
170852,Jafre
170865,"Jonquera, la"
081038,Jorba
259101,Josa i Tuixén
170871,Juià
251180,Juncosa
251193,Juneda
251214,Les
251229,Linyola
081043,"Llacuna, la"
170887,Lladó
251235,Lladorre
251240,Lladurs
081056,"Llagosta, la"
170890,Llagostera
170904,Llambilles
170911,Llanars
170926,Llançà
251253,Llardecans
251266,Llavorsí
251207,Lleida
170932,Llers
251272,Lles de Cerdanya
081075,Lliçà d'Amunt
081081,Lliçà de Vall
251288,Llimiana
081069,Llinars del Vallès
170947,Llívia
430727,"Lloar, el"
251291,Llobera
430733,Llorac
430748,Llorenç del Penedès
170950,Lloret de Mar
170963,"Llosses, les"
081094,Lluçà
171024,Maçanet de Cabrenys
171030,Maçanet de la Selva
170979,Madremanya
170985,Maià de Montcal
251333,Maials
251305,Maldà
081108,Malgrat de Mar
081115,Malla
081120,Manlleu
081136,Manresa
430764,Marçà
430751,Margalef
082423,Marganell
081141,Martorell
081154,Martorelles
430770,Mas de Barberans
171002,Masarac i Vilarnadal
430786,Masdenverge
081167,"Masies de Roda, les"
081173,"Masies de Voltregà, les"
430799,Masllorenç
081189,"Masnou, el"
430803,"Masó, la"
430810,Maspujols
081192,Masquefa
430825,"Masroig, el"
251312,Massalcoreig
171019,Massanes
251327,Massoteres
081206,Matadepera
081213,Mataró
081228,Mediona
251348,Menàrguens
170998,Meranges
171058,Mieres
430831,"Milà, el"
251351,Miralcamp
430846,Miravet
081385,Moià
430859,"Molar, el"
081234,Molins de Rei
251370,Mollerussa
171061,Mollet de Peralada
081249,Mollet del Vallès
171077,Molló
251364,"Molsosa, la"
081287,Monistrol de Calders
081271,Monistrol de Montserrat
430918,Mont-ral
171100,Mont-ras
430923,Mont-roig del Camp
171096,Montagut i Oix
430862,Montblanc
430884,Montbrió del Camp
081252,Montcada i Reixac
081304,Montclar
251399,Montellà i Martinet
081311,Montesquiu
251403,Montferrer i Castellbò
430897,Montferri
251386,Montgai
081265,Montgat
081326,Montmajor
081332,Montmaneu
430901,"Montmell, el"
081350,Montmeló
251425,Montoliu de Lleida
251410,Montoliu de Segarra
251431,Montornès de Segarra
081363,Montornès del Vallès
081379,Montseny
430939,Móra d'Ebre
430944,Móra la Nova
430957,"Morell, el"
430960,"Morera de Montsant, la"
081290,Muntanyola
081398,Mura
251459,Nalec
250254,Naut Aran
081402,Navarcles
081419,Navàs
171117,Navata
251462,Navès
081424,"Nou de Berguedà, la"
430976,"Nou de Gaià, la"
430982,Nulles
251484,Odèn
081430,Òdena
171122,Ogassa
081458,Olèrdola
081461,Olesa de Bonesvalls
081477,Olesa de Montserrat
251497,Oliana
251500,Oliola
251517,Olius
081483,Olivella
081496,Olost
171143,Olot
251522,"Oluges, les"
081445,Olvan
251538,"Omellons, els"
251543,"Omells de na Gaia, els"
171156,Ordis
251556,Organyà
081509,Orís
081516,Oristà
081521,Orpí
081537,Òrrius
251569,Os de Balaguer
171169,Osor
251575,Ossó de Sió
081542,Pacs del Penedès
081555,Palafolls
171175,Palafrugell
171181,Palamós
251581,"Palau d'Anglesola, el"
171194,Palau de Santa Eulàlia
171215,Palau-sator
171208,Palau-saverdera
081568,Palau-solità i Plegamans
431009,"Pallaresos, els"
081574,Pallejà
430995,"Palma d'Ebre, la"
089058,"Palma de Cervelló, la"
171236,Palol de Revardit
171241,Pals
081580,"Papiol, el"
171254,Pardines
081593,Parets del Vallès
171267,Parlavà
431016,Passanant i Belltall
171289,Pau
431021,Paüls
171292,Pedret i Marzà
251641,Penelles
171306,"Pera, la"
081607,Perafita
431037,Perafort
171328,Peralada
251654,Peramola
431042,"Perelló, el"
081614,Piera
431055,"Piles, les"
081635,Pineda de Mar
431068,"Pinell de Brai, el"
251667,Pinell de Solsonès
251673,Pinós
431074,Pira
431080,"Pla de Santa Maria, el"
081640,"Pla del Penedès, el"
171334,"Planes d'Hostoles, les"
171349,Planoles
259118,"Plans de Sió, els"
251689,"Poal, el"
251692,"Pobla de Cérvoles, la"
081653,"Pobla de Claramunt, la"
081666,"Pobla de Lillet, la"
431093,"Pobla de Mafumet, la"
431107,"Pobla de Massaluca, la"
431114,"Pobla de Montornès, la"
251713,"Pobla de Segur, la"
431129,Poboleda
081672,Polinyà
431135,"Pont d'Armentera, el"
250306,"Pont de Bar, el"
171352,Pont de Molins
251734,"Pont de Suert, el"
081825,"Pont de Vilomara i Rocafort, el"
431418,Pontils
081688,Pontons
171365,Pontós
251728,Ponts
171371,Porqueres
431140,Porrera
171404,"Port de la Selva, el"
171387,Portbou
251749,"Portella, la"
431153,Pradell de la Teixeta
431166,Prades
431172,Prat de Comte
081691,"Prat de Llobregat, el"
431188,Pratdip
081712,Prats de Lluçanès
081705,"Prats de Rei, els"
251752,Prats i Sansor
251765,Preixana
251771,Preixens
082303,Premià de Dalt
081727,Premià de Mar
171390,"Preses, les"
251790,Prullans
081751,Puig-reig
171411,Puigcerdà
081748,Puigdàlber
251804,Puiggròs
431191,Puigpelat
251811,Puigverd d'Agramunt
251826,Puigverd de Lleida
081764,Pujalt
081770,"Quar, la"
171426,Quart
170433,Queralbs
431205,Querol
171432,Rabós
081786,Rajadell
431362,"Ràpita, la"
431212,Rasquera
171447,Regencós
081799,Rellinars
431227,Renau
431233,Reus
251832,Rialp
431248,"Riba, la"
431251,Riba-roja d'Ebre
259059,Ribera d'Ondara
251850,Ribera d'Urgellet
171450,Ribes de Freser
171463,Riells i Viabrea
431264,"Riera de Gaià, la"
251863,Riner
171479,Ripoll
081803,Ripollet
259139,Riu de Cerdanya
171485,Riudarenes
171498,Riudaura
431270,Riudecanyes
431286,Riudecols
171501,Riudellots de la Selva
431299,Riudoms
171518,Riumors
081810,"Roca del Vallès, la"
431303,Rocafort de Queralt
431310,Roda de Berà
081831,Roda de Ter
431325,Rodonyà
431331,Roquetes
171523,Roses
251898,Rosselló
431346,"Rourell, el"
081846,Rubí
081859,Rubió
171539,Rupià
089019,Rupit i Pruit
081878,Sabadell
081884,Sagàs
251902,Salàs de Pallars
081901,Saldes
171544,Sales de Llierca
081918,Sallent
431359,Salomó
439057,Salou
171557,Salt
251919,Sanaüja
081944,Sant Adrià de Besòs
081957,Sant Agustí de Lluçanès
081960,Sant Andreu de la Barca
081976,Sant Andreu de Llavaneres
171576,Sant Andreu Salou
171833,Sant Aniol de Finestres
081982,Sant Antoni de Vilamajor
081995,Sant Bartomeu del Grau
082009,Sant Boi de Llobregat
082016,Sant Boi de Lluçanès
082037,Sant Cebrià de Vallalta
082021,Sant Celoni
082042,Sant Climent de Llobregat
171582,Sant Climent Sescebes
082055,Sant Cugat del Vallès
082068,Sant Cugat Sesgarrigues
251961,Sant Esteve de la Sarga
082074,Sant Esteve de Palautordera
082080,Sant Esteve Sesrovires
171595,Sant Feliu de Buixalleu
082107,Sant Feliu de Codines
171609,Sant Feliu de Guíxols
082114,Sant Feliu de Llobregat
171616,Sant Feliu de Pallerols
082129,Sant Feliu Sasserra
171621,Sant Ferriol
082093,Sant Fost de Campsentelles
082135,Sant Fruitós de Bages
171637,Sant Gregori
251924,Sant Guim de Freixenet
251977,Sant Guim de la Plana
171642,Sant Hilari Sacalm
082153,Sant Hipòlit de Voltregà
081939,Sant Iscle de Vallalta
439023,Sant Jaume d'Enveja
082166,Sant Jaume de Frontanyà
171655,Sant Jaume de Llierca
431378,Sant Jaume dels Domenys
171674,Sant Joan de les Abadesses
171680,Sant Joan de Mollet
082188,Sant Joan de Vilatorrada
082172,Sant Joan Despí
171851,Sant Joan les Fonts
171668,Sant Jordi Desvalls
089030,Sant Julià de Cerdanyola
171693,Sant Julià de Ramis
082205,Sant Julià de Vilatorta
171693,Sant Julià del Llor i Bonmatí
082212,Sant Just Desvern
082227,Sant Llorenç d'Hortons
171714,Sant Llorenç de la Muga
251930,Sant Llorenç de Morunys
082233,Sant Llorenç Savall
082251,Sant Martí d'Albars
082248,Sant Martí de Centelles
171729,Sant Martí de Llémena
259025,Sant Martí de Riucorb
082264,Sant Martí de Tous
082270,Sant Martí Sarroca
082286,Sant Martí Sesgueioles
171735,Sant Martí Vell
082299,Sant Mateu de Bages
171740,Sant Miquel de Campmajor
171753,Sant Miquel de Fluvià
171766,Sant Mori
171772,Sant Pau de Segúries
082310,Sant Pere de Ribes
082325,Sant Pere de Riudebitlles
082331,Sant Pere de Torelló
082346,Sant Pere de Vilamajor
171788,Sant Pere Pescador
081897,Sant Pere Sallavinera
082359,Sant Pol de Mar
082362,Sant Quintí de Mediona
082378,Sant Quirze de Besora
